judul artikel,judul artikel eng,embedding
Membuat Keset dari Kain Perca dengan Menyulam,Patchwork,"[-3.97124365e-02 -4.31467667e-02 -7.99282733e-03  3.00785862e-02
  3.00580803e-02 -5.19009191e-04 -6.49927035e-02 -5.24889790e-02
  1.78139228e-02  4.66566719e-02  3.88202746e-03  5.46557903e-02
  6.08177520e-02 -2.69893035e-02  4.85278033e-02  7.49173760e-02
  6.47204667e-02  9.84328426e-03 -6.60191814e-04 -2.57106032e-02
  1.68264657e-02  6.91706613e-02  3.36165912e-02 -6.04919791e-02
  3.46444733e-02  1.25996368e-02 -1.52427936e-02  3.60912308e-02
  4.61333105e-03  2.61290949e-02  9.29184631e-02 -1.56816430e-02
 -7.92990476e-02 -4.20086086e-02  6.74966350e-02  7.34092817e-02
  2.14893762e-02 -5.38668130e-03  3.29673961e-02 -3.86439525e-02
 -1.15269488e-02 -4.40859757e-02 -5.11377342e-02 -6.56277537e-02
 -6.78485259e-02  3.78265604e-02 -2.57464796e-02  1.93280037e-02
  5.05662598e-02 -3.12331133e-02  7.54499435e-02 -3.59507464e-02
  6.54379129e-02  4.43768641e-03  7.16282055e-02 -4.79663312e-02
 -9.51930881e-03 -7.44147971e-02  7.44526461e-02  1.48138134e-02
 -4.87482101e-02 -1.26333321e-02 -2.90488526e-02  5.34875914e-02
 -3.14472802e-02  1.10234618e-02  1.76927540e-02 -5.37043586e-02
  1.04352953e-02  5.49469981e-03  3.82763818e-02  3.93385962e-02
  5.88956103e-02 -1.76395103e-02 -3.26170027e-03  6.13804497e-02
  6.47134632e-02  2.72560883e-02  6.23401515e-02  2.42258552e-02
 -6.97840005e-02  2.83770636e-02 -5.50474934e-02 -8.24399367e-02
 -1.10221980e-02 -1.92605127e-02 -5.94501151e-03 -4.25149314e-02
  1.45445568e-02 -4.45818081e-02  1.45853451e-02 -6.89530596e-02
  6.16231859e-02  4.86714952e-02  7.04672784e-02  7.82756135e-02
 -4.47256640e-02 -7.14178234e-02  4.50085737e-02 -2.68552010e-03
  2.59413794e-02 -7.06403702e-02 -1.50009058e-03 -3.57691608e-02
  4.18901071e-02  1.65484454e-02 -6.46032989e-02 -2.77293217e-03
 -5.29911965e-02  4.17311909e-03  1.91663369e-03 -3.11312662e-03
  1.21580495e-03  5.05265519e-02 -4.15639691e-02 -7.20332097e-03
 -5.92004461e-03  5.74809872e-02  5.26353866e-02  5.11632748e-02
 -6.49060607e-02  1.00122131e-02  3.14879715e-02 -5.86659499e-02
 -5.15228212e-02  5.81626184e-02 -4.12308574e-02  2.93333940e-02
 -6.32286742e-02 -5.71377203e-02  2.28216238e-02  7.71631766e-03
  7.70262107e-02  4.23495807e-02  4.37989347e-02  1.50560839e-02
  8.66066366e-02  2.76484694e-02 -2.51193601e-03  2.93446258e-02
 -3.50409225e-02 -2.24928055e-02  3.24608362e-03 -6.70593902e-02
 -1.81698706e-02 -2.36523189e-02 -5.46797412e-03  1.51909413e-02
 -2.86421757e-02 -5.48100136e-02  1.58596598e-02  6.76104566e-03
 -7.42074400e-02 -1.46862175e-02  2.72660721e-02 -2.22214889e-02
 -8.20110145e-05 -5.62413828e-03  7.21574426e-02 -2.30156798e-02
 -1.69119053e-02 -7.71214142e-02  7.87962750e-02  4.09223512e-02
 -6.04994036e-02  4.85150553e-02 -1.88184660e-02  1.75604653e-02
  2.01548804e-02 -2.30140835e-02 -5.36009902e-03  1.63950101e-02
  1.09054549e-02 -2.49998900e-03  6.20966144e-02 -8.01993906e-02
  5.69259860e-02  3.45095880e-02  4.07860754e-03 -2.82846931e-02
 -5.49411662e-02 -5.56881865e-03  4.64555398e-02 -4.32643145e-02
  5.43395989e-02  5.65957949e-02 -5.39328083e-02  4.07360084e-02
  3.32016088e-02  5.55996783e-02  4.60572205e-02  2.11498048e-02
  5.47196679e-02  1.77923739e-02 -8.16860944e-02 -8.29010755e-02
 -6.57883435e-02  3.37357782e-02  5.97677752e-02  3.96496542e-02
 -6.19087890e-02 -3.94020882e-03  3.17942761e-02 -8.35152529e-03
  3.48434225e-02  2.79511884e-02  7.50797316e-02  9.43878572e-03
  4.80258502e-02  1.73021033e-02 -4.92237695e-02  2.58217156e-02
  3.20482329e-02 -1.56316385e-02 -7.31255785e-02 -1.28223263e-02
  8.56392831e-02 -3.83064449e-02 -7.77038094e-03  1.26247648e-02
 -8.76925066e-02 -5.94829507e-02 -4.51919101e-02 -4.23744507e-02
  1.77623369e-02  4.31150720e-02 -3.75494845e-02  7.58292899e-03
 -4.84163649e-02 -7.20282793e-02 -5.06136008e-02 -7.46347830e-02
  3.76785547e-02  9.42060053e-02  7.41718188e-02  4.43581939e-02
 -1.36508849e-02 -2.22106334e-02 -2.50669103e-02 -6.20173737e-02
  2.92469319e-02 -7.13610873e-02 -5.46794422e-02 -4.44928743e-02
  3.59699056e-02 -4.73139547e-02 -6.65739626e-02 -6.21178225e-02
 -8.45991001e-02 -2.80634202e-02  3.32484469e-02  3.38134989e-02
 -5.92008457e-02 -1.72713492e-02  1.85283099e-03  2.79331277e-03
  8.00594613e-02  6.85581099e-03  4.88593653e-02  3.76418047e-02
 -5.63511029e-02  4.39613163e-02  4.02837470e-02 -4.90268990e-02
 -1.70335511e-03 -3.75170447e-02  7.26510435e-02  1.10098291e-02
  6.57326952e-02 -2.56739482e-02  1.49271116e-02 -7.25466684e-02
 -5.40556721e-02  3.28613892e-02 -7.66748264e-02 -3.81591134e-02
 -4.86461669e-02 -1.86715871e-02  6.74987808e-02  4.64608334e-02
  1.76320802e-02 -1.26180332e-02 -3.66338007e-02 -3.11450623e-02
 -2.77415235e-02 -1.01693757e-02  6.80320039e-02  2.41820049e-02
 -1.53603340e-02  5.82380109e-02  4.60032746e-02  7.10876659e-03
  6.04738593e-02  5.33402450e-02 -2.61414032e-02 -1.30513096e-02
  8.73107910e-02  8.77211094e-02  1.81624095e-03 -7.00149834e-02
 -3.58562097e-02 -5.16958116e-03  1.42063927e-02  4.35984228e-03
  3.24238651e-02  5.06940112e-02  2.20095227e-03  8.32710490e-02
 -5.64458407e-02 -1.88409872e-02 -1.82333160e-02 -2.51670126e-02
  5.02978405e-03 -5.14586605e-02 -6.27918309e-03  2.03553960e-02
 -2.43010391e-02  5.34532480e-02 -4.58983108e-02  2.85387989e-02
 -6.45806119e-02 -2.99216434e-02  5.98319620e-02  4.69858572e-02
 -1.86205395e-02 -1.71133652e-02  4.02273573e-02  7.10734054e-02
 -3.08466945e-02 -5.04019894e-02 -3.68962772e-02 -1.52096692e-02
  1.14837110e-06  5.51910177e-02  2.20279600e-02  4.35828380e-02
  5.66418283e-02 -4.51101139e-02 -5.48081379e-03 -1.00027910e-02
 -2.68371738e-02  1.68044902e-02  4.42648903e-02 -1.14518153e-02
 -3.12222615e-02  5.82286343e-02 -6.24007639e-03 -4.50785086e-02
  3.43580469e-02 -6.67440891e-02  2.89974809e-02 -2.90803006e-03
  3.52156605e-03  5.93561120e-02 -3.24517488e-02 -1.98982973e-02
 -8.21129233e-02  7.80961961e-02 -1.20780412e-02  1.87808312e-02
 -4.12341990e-02  4.83495034e-02  7.83439577e-02  2.10102126e-02
 -4.98928651e-02 -4.19792011e-02  8.81379992e-02 -2.97906380e-02
  5.67047708e-02 -4.07517627e-02 -4.27818634e-02 -5.05412668e-02
 -3.06531414e-02  7.90765509e-02  5.67031689e-02 -1.55807892e-02
  2.70939656e-02 -6.62975991e-03 -8.39505047e-02 -3.97286862e-02
  4.98595694e-03 -2.27470435e-02 -1.52107216e-02 -6.37824386e-02
 -5.82544096e-02  1.64609812e-02  5.69738336e-02 -2.02472191e-02
  1.59369037e-02 -2.07992252e-02  6.00399934e-02  2.98094358e-02
  7.10936785e-02 -2.62933057e-02  3.13852541e-02 -4.82000709e-02
 -4.26369198e-02  2.75178533e-02 -2.58872323e-02 -2.92489175e-02
 -2.49098968e-02 -3.58340740e-02 -1.78352389e-02 -7.93226510e-02
 -5.46689406e-02  1.57749709e-02 -1.26256859e-02  3.65203507e-02
  1.04091607e-03 -6.62532598e-02 -2.05329936e-02 -6.75083250e-02
 -9.12907254e-03  8.40581357e-02  6.21249492e-04  4.93577868e-02
  4.40020487e-03 -2.87460424e-02 -3.23754475e-02 -1.38311787e-02
  1.08336499e-02  3.44398804e-02 -2.53215879e-02  4.07716334e-02
  5.04807830e-02 -4.76285480e-02  6.16242737e-03  4.34310585e-02
 -3.64601426e-02  1.75133012e-02  1.04289642e-02 -3.41121294e-02
  4.21706624e-02 -5.33851944e-02  4.73768972e-02 -6.47809058e-02
 -5.74979708e-02 -4.44610305e-02  4.67358939e-02  2.30800863e-02
 -3.66486516e-03 -5.74131683e-02 -9.67297330e-03 -2.44502090e-02
  9.34121013e-03  8.50307122e-02 -4.50038910e-02  8.48485529e-03
 -3.64757963e-02 -2.24304944e-02  3.61059308e-02  2.54921224e-02
 -1.61631983e-02  5.79869114e-02  8.66632238e-02  6.90006316e-02
 -4.63645607e-02  6.60056695e-02 -5.86437248e-03  2.35329755e-02
 -1.49555970e-02 -5.28689241e-03 -1.03773559e-02 -3.88458706e-02
  6.81877658e-02 -2.65718475e-02 -1.80843752e-02  1.75493918e-02
  6.85414821e-02  6.78744391e-02  2.31402181e-02 -9.97473393e-03
 -2.21336205e-02 -1.30282193e-02  1.24898285e-03 -2.82114036e-02
 -2.40302105e-02  4.74417098e-02  6.06431402e-02 -6.68530613e-02
  5.01540899e-02 -6.26110435e-02  1.85871143e-02  2.15933509e-02
  3.06674354e-02 -2.69776285e-02 -2.48093493e-02 -3.14726308e-02
 -5.52211106e-02 -9.48932720e-04  4.00574580e-02 -4.30568643e-02
 -1.52683314e-02 -4.43914197e-02  3.65837291e-02 -6.10299269e-03
  2.34209057e-02 -4.07021083e-02 -4.94557396e-02 -1.54131567e-02
 -6.52096700e-03  7.82169327e-02 -1.57585107e-02 -9.35844705e-02
 -4.85576317e-02  8.60176235e-02 -4.88017313e-02 -5.40372469e-02
 -3.60484421e-02 -6.96284976e-03 -4.80505861e-02 -1.95815656e-02]"
Tote Bag dari Kain Perca,Patchwork tote bag,"[-3.18173366e-03 -3.67009826e-02 -1.18376804e-03  1.39458030e-02
  5.75937666e-02  4.79560234e-02 -5.84095381e-02  1.82401519e-02
  4.18418460e-02 -3.08590587e-02 -2.23884713e-02  4.19743024e-02
  6.45939335e-02 -4.62844670e-02  3.96704301e-02  5.78386411e-02
  6.79981336e-02  2.60993242e-02 -2.47947611e-02 -2.27745418e-02
  8.94237496e-03  4.93854098e-02  1.84601417e-03 -4.00970913e-02
 -4.32778383e-03 -1.44649651e-02  2.70420895e-03 -1.25492765e-02
  6.91943988e-03 -3.27570066e-02  8.01707730e-02 -1.24614704e-02
 -7.54130185e-02 -1.80633459e-03  5.32551706e-02  5.02480939e-02
 -3.09837051e-02  3.89066450e-02  3.66857797e-02 -4.32791188e-02
  2.36945823e-02  2.98203137e-02 -7.56532997e-02 -5.95665798e-02
 -4.39439639e-02  5.50222769e-02 -2.59818081e-02  3.84156108e-02
  4.96002436e-02 -3.60731930e-02  6.92742318e-02  6.16936311e-02
  4.37575355e-02 -2.91314609e-02 -2.29149368e-02  3.12056951e-02
 -2.81516351e-02 -8.07519816e-03  7.50677139e-02  4.08833697e-02
 -5.71398772e-02  1.15892233e-03 -2.68762391e-02  3.24390233e-02
 -4.81718443e-02  4.73568253e-02  2.42627412e-02 -6.12683073e-02
 -4.56312764e-03  2.36856770e-02  1.01732146e-02 -1.44761782e-02
  3.95539999e-02  4.40648012e-02 -1.97617356e-02  7.44303018e-02
  7.69033432e-02 -5.38478792e-02  3.57705317e-02  3.97414789e-02
 -6.34864196e-02  3.77807468e-02 -7.07671270e-02 -7.20739216e-02
  5.52706122e-02 -2.95410454e-02 -2.09405553e-02 -6.65051788e-02
  5.06124906e-02 -6.60827905e-02  2.38529257e-02 -3.41996774e-02
  5.72075434e-02  5.40416948e-02  6.05834313e-02  7.46363029e-02
 -5.90462796e-02 -5.20295762e-02  2.20253449e-02 -1.33140683e-02
  1.23222275e-02 -5.76607287e-02 -3.00353765e-02  1.62932780e-02
  3.76856029e-02  5.95113002e-02  3.61780040e-02 -8.33039265e-03
 -1.74267683e-02 -8.59462842e-03  2.08260696e-02 -2.12748051e-02
 -1.35685746e-02  5.46346009e-02  4.32816260e-02 -3.47029567e-02
 -6.84905425e-02  2.03253683e-02  6.40302710e-03  4.66547906e-02
  2.05336735e-02 -4.74580564e-02  2.42409986e-02 -5.01440279e-02
 -2.85306368e-02  2.53039580e-02 -6.10417724e-02  6.64056167e-02
 -5.01021966e-02 -1.08959302e-02  4.83897924e-02  4.55520675e-02
  3.98823544e-02 -5.93875675e-03 -4.23552357e-02 -5.01058204e-03
  5.59297539e-02 -8.83166771e-03  4.62282309e-03  6.83912486e-02
 -2.13140193e-02 -4.40193266e-02  3.76262181e-02 -1.85363404e-02
  6.29241541e-02 -4.19510677e-02  1.77970268e-02 -3.55698280e-02
  3.70778926e-02 -6.17143288e-02 -1.21812290e-03  3.14754248e-02
 -6.50957152e-02 -4.17387001e-02  3.23558860e-02 -5.80482127e-04
 -6.74868450e-02 -6.18409775e-02  5.20326048e-02  6.80927560e-03
  2.63308454e-02 -4.72418480e-02  5.42591549e-02  2.12336369e-02
 -4.03604209e-02  7.64499744e-03 -5.67570254e-02 -6.20669946e-02
  1.77592672e-02 -4.28602062e-02  4.32651341e-02  3.62116694e-02
 -5.99167645e-02 -2.46567372e-02  6.58094585e-02 -5.31801544e-02
  6.21612594e-02  7.85862375e-03 -3.74315269e-02 -3.57428789e-02
 -5.08750416e-03 -4.60718870e-02  4.83242609e-02 -4.43660356e-02
  6.44120276e-02  5.88620976e-02 -5.74004725e-02  1.26209855e-03
  4.72625419e-02  3.83497849e-02  3.52573618e-02 -7.55352452e-02
  5.52184060e-02  1.30961323e-02 -2.87074838e-02 -6.21773191e-02
 -7.85062388e-02 -3.78412977e-02  7.42881596e-02  5.18227741e-02
 -1.68104451e-02 -7.65942559e-02 -1.91093180e-02  1.65912900e-02
 -2.44020559e-02 -6.61112694e-03  9.44847800e-03  6.72760904e-02
  3.64459073e-03  4.73023020e-02 -3.56320813e-02  5.60257621e-02
  4.79288399e-02  2.09447313e-02 -7.02351332e-02 -4.33157831e-02
  5.65511696e-02 -3.04953847e-02  2.50063892e-02  4.99624647e-02
 -6.88679442e-02 -7.61674643e-02 -1.97158400e-02 -6.87958971e-02
 -7.16356980e-03  5.83407581e-02 -6.01386502e-02 -1.02640660e-02
  6.45631254e-02 -7.97463283e-02 -4.66724895e-02 -4.02382910e-02
  1.89875159e-02  3.77807617e-02  4.17223535e-02 -6.95322827e-02
  3.97287495e-02 -9.87306048e-05  6.27307547e-03 -3.22343260e-02
  6.92753587e-03 -6.75714687e-02 -3.05829551e-02 -6.59731925e-02
  3.73424031e-02 -7.01073790e-03 -5.99579476e-02 -6.44253865e-02
 -6.07739426e-02 -6.19268306e-02 -8.19029193e-03 -2.99849384e-03
 -6.63933977e-02 -2.88505144e-02 -5.70706241e-02 -6.70347502e-03
  7.18313232e-02 -5.33800907e-02  3.61091867e-02  9.47455317e-03
 -5.94178922e-02  3.61552574e-02  5.29055744e-02 -3.42980698e-02
 -7.72637315e-03  3.93443219e-02  6.77212402e-02  5.69140054e-02
  1.04570026e-02  1.99040119e-02  5.08131720e-02  1.85072084e-03
 -1.15761906e-02 -3.17769535e-02 -3.75248194e-02 -5.52087231e-03
  3.49934064e-02  2.31383331e-02  6.62890524e-02  6.25931993e-02
 -8.86499230e-03 -2.97544189e-02 -1.93755608e-02  2.79809698e-03
 -5.84192611e-02 -6.21626675e-02  1.84056703e-02 -3.57228406e-02
  3.88725623e-02  2.19655056e-02  7.24556670e-02  3.32653038e-02
  7.36813173e-02  6.97115585e-02  6.16671145e-03  1.38538862e-02
  7.70822391e-02  7.07838759e-02  9.76634119e-03 -3.30067724e-02
 -9.82815307e-03  3.84979621e-02  3.45385000e-02  3.66026629e-03
 -4.31821607e-02  4.06617075e-02 -4.94218059e-02  7.44882226e-02
 -4.13492583e-02  2.44871806e-02  1.00356555e-02 -3.58057953e-02
 -4.40123901e-02 -7.30194822e-02 -1.48339686e-03  1.31732794e-02
  8.71347496e-04  5.74433431e-02 -1.32949194e-02  4.52450365e-02
 -6.66744485e-02  2.70145992e-03  6.34991601e-02  7.59869814e-02
  3.94949019e-02 -6.25007376e-02  4.31442596e-02  5.97789660e-02
  1.56435389e-02 -7.45449290e-02 -3.06095779e-02 -2.48203203e-02
 -5.66574894e-02  1.06648903e-03  4.87576313e-02  7.50703886e-02
  3.69965062e-02  8.02294444e-03 -2.22221836e-02  4.62192036e-02
 -3.77870835e-02 -3.68088484e-02  4.14323285e-02 -2.22974364e-02
  4.93449494e-02  5.00231050e-02 -4.90674078e-02 -3.73938717e-02
  5.81424497e-02 -6.41777962e-02  5.87954484e-02 -5.73823787e-02
  2.05933060e-02  5.84639497e-02 -6.38934895e-02 -2.58252788e-02
 -7.22491443e-02  6.35984316e-02  6.88079894e-02 -2.76103429e-02
 -5.71279414e-02  6.95734918e-02  5.44536859e-02  1.09359273e-03
 -1.14198457e-02 -5.49346358e-02  4.96283323e-02 -2.07664035e-02
 -1.53868394e-02 -4.13784124e-02 -1.26220277e-02 -1.80182364e-02
 -1.70466565e-02  6.97975233e-02  1.40075646e-02  5.45929447e-02
  1.38855940e-02  7.27118365e-03 -6.02836087e-02 -2.47839503e-02
  4.27181683e-02  4.45348620e-02  4.39119563e-02 -3.14658135e-02
 -7.27866450e-03 -1.02835782e-02  3.19397822e-02  3.32507752e-02
 -1.03304174e-03  1.54289242e-03  4.42783814e-03  5.80027364e-02
  7.64740333e-02 -3.02487221e-02 -6.71621934e-02 -6.29881993e-02
  3.74307781e-02 -6.09724363e-03  9.44650918e-03 -2.55519710e-02
 -5.23077250e-02  6.93536624e-02  6.18908030e-04 -5.98856248e-02
 -7.17069879e-02  3.91546562e-02 -3.08642909e-02  2.41186377e-02
 -5.31047992e-02 -4.60406318e-02 -6.06339006e-03 -6.30504563e-02
 -2.14038230e-02  7.24446028e-02  5.24249077e-02  4.02134471e-02
  4.03049914e-03  4.88767810e-02 -7.85446540e-03  1.92106944e-02
 -3.37943472e-02  4.51195845e-03 -6.03649160e-03  6.35913238e-02
  6.88291416e-02  8.67188815e-03 -5.42581500e-03  6.20330907e-02
 -6.36149570e-02 -5.69532719e-03 -2.14247070e-02 -5.02700284e-02
  4.78366110e-03 -4.38868664e-02 -2.24453956e-03 -5.54334149e-02
 -3.04681249e-02 -1.26012799e-03 -7.02707889e-03 -5.12569509e-02
  1.65328663e-02 -5.39723411e-02 -2.60030963e-02  5.50464392e-02
 -4.78346348e-02  4.75890860e-02  1.67351700e-02  2.41234899e-02
 -2.27522999e-02 -4.00059521e-02  5.68340719e-02 -1.68016460e-02
 -5.27196378e-03  6.84925988e-02  7.88366869e-02  2.94230152e-02
 -5.67556992e-02  6.44541979e-02 -1.87062752e-02  5.05225845e-02
  2.34776246e-03 -3.67637724e-02 -5.17243557e-02 -5.08009940e-02
  7.01364428e-02  4.05320041e-02 -1.47428066e-02  4.93901260e-02
  7.64729902e-02  6.67156503e-02 -4.53072526e-02 -3.20731513e-02
  3.65232527e-02  5.62798828e-02 -5.27444072e-02 -1.96344294e-02
 -9.06398240e-03  4.45638187e-02  3.01748104e-02 -7.95013383e-02
  6.16633520e-02 -4.34255879e-03  6.40401617e-02 -5.80971548e-03
  6.20198213e-02 -5.98675832e-02  5.15095741e-02 -2.86902231e-03
 -2.00423319e-02  3.37721407e-02  3.86234187e-02  1.98410433e-02
  5.33015691e-02 -4.34580334e-02  1.51307816e-02  7.74122076e-03
 -1.45734102e-02 -5.17359376e-02 -2.90481746e-02  6.34398386e-02
  2.85251159e-02  7.99196288e-02  1.97355617e-02 -7.18199313e-02
 -1.81116853e-02  7.20162019e-02 -6.80864379e-02 -7.41501898e-02
 -3.25379819e-02  1.49454474e-02 -2.88685877e-02  1.92555562e-02]"
Sarung Kabel dari Kain Perca,Patchwork cable sarong,"[ 0.02070622 -0.01094574 -0.02942759  0.07885686  0.05595661 -0.0133608
  0.00032423  0.01767212 -0.04412898  0.01116774 -0.02923483  0.00576782
  0.03626267 -0.04371459  0.08096986  0.06176872  0.04461246  0.02527871
 -0.0048428  -0.00465317  0.04846444  0.05444603  0.00466441 -0.05200909
  0.03009957  0.06076713  0.00694214  0.06899132 -0.01892059  0.03589411
  0.09313763  0.03001329 -0.05191617  0.01007914  0.05872611  0.05558577
  0.06533153  0.061865   -0.06285491 -0.07511891 -0.00988019 -0.03649895
  0.07031302 -0.05842793 -0.04437667  0.01300925 -0.03466472 -0.0314895
  0.05642328  0.02461146  0.04050491  0.03694196 -0.04053319 -0.06331214
  0.088819   -0.05026834 -0.0227143  -0.0368552   0.07709207  0.05482308
  0.01553121 -0.03726671 -0.04054968  0.04176132 -0.03412604 -0.02281191
  0.04701303 -0.04597766  0.0271171   0.00446442  0.01280492 -0.03006412
  0.06219582 -0.03093392 -0.02926619  0.07748944  0.04597777 -0.01632501
  0.07162413  0.00730693 -0.06294173  0.03068638 -0.06926879 -0.0876257
 -0.01532893  0.0065565   0.04601672 -0.005891    0.04147893 -0.03518588
 -0.06053021 -0.04413737  0.06083598  0.02193178  0.0771163   0.02306988
 -0.03172484 -0.00764911  0.00359584  0.00229423  0.08058152 -0.03645406
 -0.0458587  -0.02559811 -0.06459057  0.08480163 -0.04014513 -0.04659315
 -0.0512806  -0.02837889 -0.04947301 -0.0242167   0.03154377 -0.01295205
 -0.00776388 -0.04613819 -0.06498817 -0.02292306  0.06140473  0.07171132
  0.05775301  0.05953302  0.0439667   0.02566701 -0.05987049  0.00708059
 -0.01741811 -0.01681144 -0.06069076  0.01254202  0.044323    0.01477274
  0.05449486 -0.04273493 -0.02348353  0.05592931  0.07552762 -0.01155315
 -0.0177897  -0.00065851 -0.02687369  0.02340708  0.00702495 -0.04727926
 -0.07746607 -0.0017355   0.0240976   0.06209203 -0.00030016 -0.02177445
  0.05805536 -0.00665611 -0.0167028   0.04235347 -0.02240557 -0.04859313
 -0.03962104 -0.07910404  0.03009664 -0.0729989  -0.02788077 -0.05610933
  0.07191847  0.04169807 -0.0413958   0.01496204  0.01806455 -0.0151206
 -0.01577488  0.08864939  0.0771277   0.00864677  0.02713699 -0.07835364
  0.08195936 -0.08816668  0.03975777  0.07483148 -0.05148865  0.02528853
 -0.02339183  0.07120609  0.04476812 -0.02631285  0.04798826  0.06487878
 -0.04622422  0.0346363  -0.03017988  0.05490138 -0.0280383  -0.04747915
  0.05532334  0.00751355 -0.07077722  0.00270205 -0.02203791 -0.0118105
  0.0146361   0.03911307 -0.06696112 -0.08832876  0.03285942  0.0376237
  0.00668854 -0.00194905  0.03252434  0.047961    0.02057415 -0.00324756
 -0.04869112  0.01243581  0.03237091 -0.04520673 -0.06561629 -0.01285991
  0.08068749 -0.05432256 -0.00145553  0.06236923 -0.07961559 -0.05613534
 -0.04247577 -0.04570604 -0.02363976 -0.00717327 -0.00781167 -0.00312676
  0.02592348 -0.05966414 -0.0235973  -0.00624253  0.01611114  0.08320763
  0.08249102 -0.05723453  0.01000196  0.01407915  0.07114285 -0.03650383
  0.06624984 -0.01338882 -0.00376741 -0.05942738  0.0819428  -0.01654484
 -0.02388139 -0.00282949 -0.06401969  0.0292784   0.0226406   0.00105425
 -0.06726906 -0.04821876 -0.05917507  0.00505234  0.09120541 -0.0681368
  0.01447965  0.03581581 -0.0214069   0.01730523  0.03168371  0.00634227
 -0.03398801 -0.01761974  0.06087215  0.05060142  0.00350035  0.01218705
  0.00495726 -0.04876912 -0.03861118  0.08159468 -0.07792492 -0.0125684
  0.05581149  0.02973781 -0.00783435  0.01176639  0.01599475 -0.07632934
 -0.03993461 -0.04136413 -0.02756197 -0.06595959  0.0315606   0.04379621
 -0.05280423 -0.03342753  0.09096776 -0.02324646  0.07320117  0.02494335
 -0.03033023 -0.00199154  0.03916847  0.07244558 -0.03343922 -0.03167955
  0.01625159 -0.0438025  -0.00984414  0.00700961 -0.00401074 -0.00718579
 -0.02465049  0.01648483 -0.05746987  0.02473968  0.0430225   0.05967461
  0.00650556 -0.00072324 -0.07455347 -0.03084629  0.00954269  0.04358929
 -0.00913297 -0.04500999 -0.03868715  0.02179179  0.05701526  0.03063981
 -0.00932977 -0.00173567 -0.03585691  0.02981419  0.04593903  0.01455625
  0.00337686 -0.01267985  0.05007345  0.05662356  0.08198076  0.08672263
 -0.00222802  0.01321968  0.00747183 -0.00918483 -0.00668105  0.02839519
 -0.02853765 -0.04909614  0.03072936  0.08599076 -0.00085534 -0.06330778
  0.00549303 -0.03285368  0.00310357 -0.05135817 -0.06048448 -0.00927903
 -0.04264525 -0.02256687 -0.08138505  0.06828108 -0.03975796  0.04295221
 -0.07077838  0.02619907 -0.03703636  0.06463227 -0.03171663 -0.04826742
  0.06679516  0.00569529 -0.04708981 -0.0191351  -0.02008927  0.02956775
 -0.00802858  0.06910562  0.06483892  0.02727494  0.06044133 -0.08442192
 -0.06649071  0.05028812  0.08545003 -0.03439216  0.02149487 -0.01650963
 -0.04511581  0.03386444 -0.01172409  0.03169191 -0.00503585  0.0487624
  0.03845127  0.01053772  0.01781305  0.07474653 -0.02647495  0.03105015
 -0.04719153 -0.03854172  0.03375401 -0.01026687 -0.00938308 -0.04850645
 -0.04253066 -0.08284198  0.05616989  0.0406479  -0.00789222 -0.06282674
 -0.0310688  -0.07375337 -0.00922359 -0.0166869   0.03852559  0.00090329
 -0.0292056  -0.04624287 -0.01209178 -0.00142661 -0.04531091 -0.01815644
 -0.02952625  0.06747822  0.00236972  0.04545099  0.0412076  -0.02582408
  0.01363078 -0.05215601  0.00885738  0.001622    0.02358299 -0.06639279
  0.03277961 -0.01635203 -0.06510994 -0.03239334 -0.04059019  0.00129632
  0.03249464 -0.05760133  0.02956328 -0.06710058 -0.00741388 -0.03483208
 -0.04450294  0.011178   -0.00948672 -0.05400273 -0.00566321 -0.00799921
 -0.01348001  0.01550153 -0.02398263  0.04754774  0.06838686  0.02567252
 -0.0245241   0.05577659  0.00438431  0.00789992  0.03468242 -0.06418122
 -0.05419206 -0.05550895  0.07817522  0.01401872 -0.03517275  0.07301696
  0.06873916  0.0489344  -0.00016357 -0.01943879 -0.03500266  0.02268356
 -0.03858402 -0.01678004  0.02473048 -0.0862074   0.02116262 -0.08964986
  0.03763961  0.03497546  0.00503604  0.02444485  0.02111251 -0.00751829
 -0.00927788 -0.05096706 -0.01650206 -0.03396782 -0.00464682 -0.05368965
 -0.06134356 -0.03510559  0.00669195  0.0590037   0.02494335 -0.06238975
 -0.00675334  0.05011685  0.04116889  0.09146443 -0.02369285 -0.0651571
 -0.00217657  0.08747275 -0.03245769 -0.04159559 -0.0499337  -0.02454042
  0.00036252  0.00668108]"
